"Uptime (ms)",fps
11450,1
12044,6
13013,41
14021,121
15001,240
16004,352
17014,445
18005,524
19004,651
20004,827
21000,939
22004,1096
23018,1253
24002,1369
25002,1527
26000,1645
27004,1782
28002,1953
29005,2073
30003,2232
31006,2402
32004,2524
33003,2679
34003,2798
35000,2948
36005,3114
37004,3228
38003,3380
39015,3533
40009,3651
41003,3811
42001,3929
43002,4078
44001,4236
45002,4349
46004,4501
47000,4646
48004,4751
49001,4905
50005,5027
51000,5166
52004,5331
53002,5454
54002,5609
55005,5738
56001,5846
57003,5987
58005,6107
59004,6253
60004,6416
61000,6527
62000,6691
63012,6852
64000,6967
65002,7137
66002,7270
67002,7423
68000,7586
69002,7700
70003,7867
71011,8035
72002,8164
73001,8331
74004,8458
75000,8587
76004,8752
77002,8865
78004,9014
79001,9166
80000,9275
81002,9434
82001,9562
83005,9699
84001,9859
85006,9975
86000,10108
87011,10213
88004,10321
89005,10488
90009,10618
91006,10759
92002,10911
93001,11028
94005,11182
95000,11343
96002,11453
97004,11594
98003,11704
99002,11842
100002,11998
101001,12116
102001,12260
103004,12401
104006,12525
105001,12685
106002,12808
107000,12954
108004,13115
109001,13229
110002,13393
111004,13554
112001,13664
113003,13837
114005,13962
115003,14114
116001,14270
117001,14388
118002,14545
119008,14698
120054,14742
