Uptime (s),System (%),Time spent in GC (%),Process (kernel) (%),Process (user + kernel) (%)
25.6,17,0,1,13
26.6,27,0,2,13
27.6,21,0,2,13
28.6,19,0,3,14
29.6,16,0,1,13
30.6,16,0,2,13
31.6,14,0,1,13
32.6,17,0,1,14
33.6,16,0,2,13
34.6,16,0,3,12
35.6,15,0,1,13
36.6,29,0,2,13
37.6,17,0,2,13
38.6,15,0,2,13
39.6,17,0,1,13
40.6,16,0,2,13
41.6,16,0,2,13
42.6,17,0,2,13
43.6,14,0,2,12
44.6,14,0,1,13
45.6,15,0,2,13
46.6,23,0,2,12
47.6,17,0,1,12
48.6,18,0,2,13
49.6,15,0,1,14
50.6,14,0,2,13
51.6,18,0,1,13
52.6,15,0,2,13
53.6,14,0,1,12
54.6,16,0,3,12
