Uptime (ms),Used G1 Old Gen (bytes),Used G1 Eden Space (bytes),Used G1 Survivor Space (bytes),Allocated All Pools (bytes)
10600,188716032,58720256,10485760,350224384
11600,171781120,4194304,11534336,350224384
12600,26169344,93323264,3718144,497025024
13600,43300864,256901120,29144064,497025024
14600,131718144,73400320,20593664,596639744
15600,147081216,58720256,29360128,847249408
16600,182392832,379584512,47416320,996147200
17600,260847616,45088768,59768832,1215299584
18600,317890560,378535936,53477376,1215299584
19600,317890560,607125504,53477376,1215299584
20600,342481920,57671680,61865984,1215299584
21600,368358400,207618048,51904512,1215299584
22600,368358400,299892736,51904512,1215299584
23600,400734208,15728640,38273024,1215299584
24600,400734208,511705088,38273024,1215299584
25600,400734208,24117248,60293120,1215299584
26600,433873920,168820736,39845888,1215299584
27600,433873920,263192576,39845888,1215299584
28600,433873920,350224384,39845888,1215299584
29600,456776704,510656512,35127296,1215299584
30600,456776704,71303168,56098816,1215299584
31600,456776704,411041792,56098816,1215299584
32600,485933056,371195904,39845888,1215299584
33600,485933056,462422016,39845888,1215299584
34600,508717056,229638144,44564480,1215299584
35600,508717056,318767104,44564480,1215299584
36600,508717056,411041792,44564480,1215299584
37600,534429696,235929600,42991616,1215299584
38700,534429696,332398592,42991616,1215299584
39700,548730880,232783872,41943040,1215299584
40700,559962112,300941312,43068416,1215299584
41700,559962112,395313152,43068416,1215299584
42700,586148864,308281344,40370176,1215299584
43700,586148864,400556032,40370176,1215299584
44700,599652352,76546048,38797312,1215299584
45700,622601216,56623104,34603008,1215299584
46700,622601216,138412032,34603008,1215299584
47700,635214848,120586240,30932992,1215299584
48700,644845568,268435456,32582656,1215299584
49700,644845568,360710144,32582656,1215299584
50700,674589696,75497472,32505856,1215299584
51700,674589696,167772160,32505856,1215299584
52700,674589696,263192576,32505856,1215299584
53700,705126400,14680064,33030144,1215299584
54700,705126400,108003328,33030144,1215299584
55700,723233792,170917888,18350080,1215299584
56700,735163392,28311552,28835840,1215299584
57700,735163392,119537664,28835840,1215299584
58700,760373248,2097152,27262976,1215299584
