"time (ms)","fps"
11438,1
12026,5
13001,124
14000,338
15002,577
16000,818
17000,1069
18000,1321
19001,1555
20001,1806
21003,2061
22003,2308
23001,2559
24003,2808
25001,3062
26001,3316
27003,3570
28002,3824
29000,4081
30002,4336
31004,4585
32000,4832
33000,5078
34003,5324
35003,5566
36001,5815
37001,6070
38003,6324
39000,6579
40004,6832
41002,7083
42000,7337
43000,7589
44000,7837
45000,8088
46000,8346
47003,8608
48002,8870
49002,9130
50002,9386
51003,9642
52002,9893
53003,10145
54002,10386
55001,10632
56000,10884
57003,11141
58001,11398
59003,11654
60000,11909
