time (ms),fps
13582,1
14011,18
15001,264
16000,1044
17000,1899
18000,2948
19000,3981
20000,4780
21000,5858
22000,6945
23000,7934
24000,8989
25000,10109
26000,11164
27000,12284
28000,13391
29000,14520
30000,15678
31000,16834
32000,17946
33000,19093
34000,20199
35000,21299
36000,22441
37000,23590
38000,24719
39000,25874
40000,27056
41000,28175
42000,29341
43000,30389
44000,31518
45000,32653
46000,33833
47001,34956
48000,36103
49000,37268
50000,38391
51000,39544
52000,40700
53000,41850
54000,42988
55001,44152
56000,45305
57000,46444
58000,47612
59000,48795
60000,49903
