Uptime (ms),System (%),Time spent in GC (%),Process (kernel) (%),Process (user + kernel) (%)
10700,0,0,0,0
11700,23,0,1,18
12700,91,0,3,73
13700,100,0,11,94
14700,100,0,4,89
15700,100,0,3,90
16700,97,0,6,91
17700,98,0,8,95
18700,67,1,5,60
19700,27,0,1,24
20700,33,0,3,29
21700,34,0,1,23
22700,24,0,1,22
23700,28,0,1,22
24700,41,0,1,23
25700,26,0,1,22
26700,28,0,1,25
27700,30,0,1,23
28700,29,0,2,21
29700,26,0,2,22
30700,31,0,1,23
31700,28,0,1,21
32700,26,0,2,23
33700,28,0,1,25
34700,38,0,0,23
35700,35,0,2,22
36700,28,0,1,23
37700,30,0,1,20
38700,28,0,2,23
39700,31,0,1,27
40700,30,0,1,22
41700,26,0,2,24
42700,28,0,1,25
43700,30,0,1,22
44700,40,0,1,22
45700,26,0,1,21
46700,28,0,1,21
47700,29,0,2,24
48700,24,0,1,23
49700,27,0,1,23
50700,25,0,1,23
51700,24,0,1,22
52700,26,0,1,20
53700,27,0,1,22
54700,33,0,2,22
55700,30,0,1,22
56700,23,0,1,21
57700,25,0,1,23
